Word,Rank,Frequency
the,1,1570
and,2,1487
to,3,1129
i,4,1028
of,5,956
you,6,784
a,7,755
my,8,708
that,9,612
in,10,597
is,11,536
it,12,519
not,13,493
his,14,438
your,15,402
with,16,396
for,17,394
but,18,386
this,19,378
he,20,360
ham.,21,337
as,22,325
haue,23,315
be,24,314
what,25,304
me,26,296
will,27,279
so,28,259
shall,29,231
our,30,223
are,31,223
we,32,221
him,33,216
thou,34,211
by,35,197
no,36,195
if,37,194
do,38,193
then,39,181
on,40,174
all,41,173
let,42,158
good,43,156
bru.,44,153
they,45,151
thy,46,146
or,47,146
at,48,138
was,49,137
from,50,135
enter,51,129
come,52,129
did,53,126
how,54,117
now,55,117
when,56,117
know,57,114
would,58,110
like,59,109
their,60,109
cassi.,61,107
lord,62,105
most,63,105
am,64,103
caesar,65,103
more,66,102
there,67,101
o,68,97
king.,69,97
vpon,70,96
may,71,95
hor.,72,95
which,73,95
must,74,93
giue,75,93
why,76,93
hath,77,92
should,78,92
brutus,79,90
her,80,90
such,81,88
some,82,86
'tis,83,84
an,84,84
vs,85,84
"lord,",86,83
them,87,83
where,88,82
these,89,79
make,90,77
tell,91,76
heere,92,75
thee,93,74
oh,94,72
ile,95,71
go,96,71
had,97,71
yet,98,70
speake,99,69
well,100,69
one,101,68
see,102,66
selfe,103,65
much,104,65
too,105,63
man,106,63
qu.,107,62
"him,",108,62
who,109,62
very,110,61
out,111,61
were,112,61
laer.,113,60
loue,114,59
heare,115,58
doe,116,57
mine,117,57
thinke,118,57
ophe.,119,56
nor,120,56
"you,",121,55
doth,122,54
take,123,54
"caesar,",124,53
"brutus,",125,52
"sir,",126,52
vp,127,52
"me,",128,52
say,129,51
can,130,51
noble,131,50
she,132,49
pol.,133,49
could,134,48
looke,135,48
ant.,136,48
time,137,46
thus,138,45
exeunt.,139,44
great,140,44
rosin.,141,43
men,142,42
king,143,42
stand,144,42
hamlet,145,41
"i,",146,41
any,147,41
till,148,40
into,149,40
lord?,150,39
might,151,39
cassius,152,39
neuer,153,39
leaue,154,39
put,155,38
"it,",156,38
cask.,157,38
polon.,158,38
brut.,159,37
made,160,37
th',161,37
caesars,162,37
art,163,37
antony,164,37
owne,165,37
"come,",166,36
euen,167,36
euery,168,36
hold,169,35
beare,170,34
set,171,34
hast,172,34
comes,173,34
about,174,33
night,175,33
"not,",176,33
feare,177,32
whose,178,32
cannot,179,32
day,180,32
pray,181,32
mar.,182,31
exit,183,30
two,184,30
hand,185,30
marke,186,30
finde,187,29
call,188,29
"cassius,",189,29
shew,190,29
father,191,29
you:,192,29
many,193,29
clo.,194,29
hee,195,29
"no,",196,29
against,197,28
wee'l,198,28
thing,199,28
though,200,28
luc.,201,28
caes,202,28
